|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |868|132-015|ОВД КОЧКУРОВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |869|132-016|ОВД КРАСНОСЛОБОДСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |870|132-017|ОВД ЛЯМБИРСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |871|132-018|ОВД РОМОДАНОВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |872|132-019|ОВД РУЗАЕВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |873|132-020|ОВД СТАРОШАЙГОВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |874|132-021|ОВД ТЕМНИКОВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |875|132-022|ОВД ТЕНЬГУШЕВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |876|132-023|ОВД ТОРБЕЕВСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |877|132-024|ОВД ЧАМЗИНСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |878|132-025|ОВД КАДОШКИНСКОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ|31.12.2005|
 |879|133-001|ШИРИНГУШСКОЕ ОМ ЗУБОВО-ПОЛЯНСКОГО Р-НА РЕСПУБЛИКИ МОРДОВИЯ| |
 |880|133-001|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ МОРДОВИЯ В ТОРБЕЕВСКОМ МУНИЦИПАЛЬНОМ Р-НЕ| |
 |881|133-002|ЯВАССКОЕ ОМ ЗУБОВО-ПОЛЯНСКОГО Р-НА РЕСПУБЛИКИ МОРДОВИЯ| |
 |882|140-001|УПРАВЛЕНИЕ ФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ)| |
 |883|140-002|МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В Г. ЯКУТСКЕ| |
 |884|140-003|МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ| |
 |885|140-003|ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В Г. НЕРЮНГРИ| |
 |886|140-004|МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ| |
 |887|140-005|ТП В АЛДАНСКОМ Р-НЕ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ| |
 |888|140-006|ТП В ЛЕНСКОМ Р-НЕ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ| |
 |889|140-007|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В АБЫЙСКОМ Р-НЕ|31.05.2015|
 |890|140-007|МП УФМС России по Республике Саха (Якутия) в Абыйском районе| |
 |891|140-008|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В АНАБАРСКОМ Р-НЕ|31.05.2015|
 |892|140-008|МП УФМС России по Республике Саха (Якутия) в Анабарском районе| |
 |893|140-009|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В АЛЛАИХОВСКОМ Р-НЕ|31.05.2015|
 |894|140-009|МП УФМС России по Республике Саха (Якутия) в Аллаиховском районе| |
 |895|140-010|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В АМГИНСКОМ Р-НЕ|31.05.2015|
 |896|140-010|МП УФМС России по Республике Саха (Якутия) в Амгинском районе| |
 |897|140-011|МП УФМС России по Республике Саха (Якутия) в Булунском районе| |
 |898|140-011|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В БУЛУНСКОМ Р-НЕ|31.05.2015|
 |899|140-012|МП УФМС России по Республике Саха (Якутия) в Вилюйском районе| |
 |900|140-012|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ВИЛЮЙСКОМ Р-НЕ|31.05.2015|
 |901|140-013|МП УФМС России по Республике Саха (Якутия) в Верхневилюйском районе| |
 |902|140-013|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ВЕРХНЕВИЛЮЙСКОМ Р-НЕ|31.05.2015|
 |903|140-014|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ВЕРХНЕКОЛЫМСКОМ Р-НЕ| |
 |904|140-015|МП УФМС России по Республике Саха (Якутия) в Верхоянском районе| |
 |905|140-015|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ВЕРХОЯНСКОМ Р-НЕ|31.05.2015|
 |906|140-016|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ГОРНОМ Р-НЕ| |
 |907|140-017|МП УФМС России по Республике Саха (Якутия) в Жиганском районе| |
 |908|140-017|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ЖИГАНСКОМ Р-НЕ|31.05.2015|
 |909|140-018|МП УФМС России по Республике Саха (Якутия) в Кобяйском районе| |
 |910|140-018|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В КОБЯЙСКОМ Р-НЕ|31.05.2015|
 |911|140-019|МП УФМС России по Республике Саха (Якутия) в Мегино-Кангаласском районе| |
 |912|140-019|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МЕГИНО-КАНГАЛАССКОМ Р-НЕ|31.05.2015|
 |913|140-020|МП УФМС России по Республике Саха (Якутия) в Момском районе| |
 |914|140-020|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МОМСКОМ Р-НЕ|31.05.2015|
 |915|140-021|МП УФМС России по Республике Саха (Якутия) в Нижнеколымском районе| |
 |916|140-021|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НИЖНЕКОЛЫМСКОМ Р-НЕ|31.05.2015|
 |917|140-022|ТП В НЮРБИНСКОМ Р-НЕ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ| |
 |918|140-023|МП УФМС России по Республике Саха (Якутия) в Оймяконском районе| |
 |919|140-023|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ОЙМЯКОНСКОМ Р-НЕ|31.05.2015|
 |920|140-024|МП УФМС России по Республике Саха (Якутия) в Таттинском районе| |
 |921|140-024|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ТАТТИНСКОМ Р-НЕ|31.05.2015|
 |922|140-025|МП УФМС России по Республике Саха (Якутия) в Томпонском районе| |
 |923|140-025|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ТОМПОНСКОМ Р-НЕ|31.05.2015|
 |924|140-026|МП УФМС России по Республике Саха (Якутия) в Усть-Алданском районе| |
 |925|140-026|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В УСТЬ-АЛДАНСКОМ Р-НЕ|31.05.2015|
 |926|140-027|МП УФМС России по Республике Саха (Якутия) в Усть-Янском районе| |
 |927|140-027|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В УСТЬ-ЯНСКОМ Р-НЕ|31.05.2015|
 |928|140-028|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В УСТЬ-МАЙСКОМ Р-НЕ| |
 |929|140-029|ТП ХАНГАЛАССКОМ Р-НЕ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В Г. ЯКУТСКЕ| |
 |930|140-030|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ЧУРАПЧИНСКОМ Р-НЕ|31.05.2015|
 |931|140-030|МП УФМС России по Республике Саха (Якутия) в Чурапчинском районе| |
 |932|140-031|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ЭВЕНО-БЫТАНТАЙСКОМ Р-НЕ|31.05.2015|
 |933|140-031|МП УФМС России по Республике Саха (Якутия) в Эвено-Бытантайском районе| |
 |934|140-032|"ТП В ГО ""ЖАТАЙ"" МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В Г. ЯКУТСКЕ"| |
 |935|140-033|ТП В П. ЧУЛЬМАН МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ| |
 |936|140-034|ТП В П. БЕРКАКИТ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ| |
 |937|140-035|ТП В П. СЕРЕБРЯНЫЙ БОР МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ|01.01.2012|
 |938|140-036|ТП В Г. УДАЧНЫЙ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ|31.05.2015|
 |939|140-036|МП в п. Удачный МРО УФМС России по Республике Саха (Якутия) в Мирнинском районе| |
 |940|140-037|ТП В П. АЙХАЛ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ|31.05.2015|
 |941|140-037|МП в п. Айхал МРО УФМС России по Республике Саха (Якутия) в Мирнинском районе| |
 |942|140-038|ТП В П. ЧЕРНЫШЕВСКИЙ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ|31.05.2015|
 |943|140-038|МП в п. Чернышевский МРО УФМС России по Республике Саха (Якутия) в Мирнинском районе| |
 |944|140-039|ТП В Г. ТОММОТ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ| |
 |945|140-040|МП в п. Нижний-Куранах МРО УФМС России по Республике Саха (Якутия) в Нерюнгринском районе| |
 |946|140-040|ТП В П. НИЖНИЙ-КУРАНАХ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В НЕРЮНГРИНСКОМ Р-НЕ|31.05.2015|
 |947|140-041|ТП В П. ВИТИМ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ| |
 |948|140-042|ТП В П. ПЕЛЕДУЙ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ| |
 |949|140-043|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В С. МАЙЯ МЕГИНО - КАНГАЛАССКОГО РАЙОНА|01.01.2007|
 |950|140-044|ТП В НАМСКОМ Р-НЕ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В Г. ЯКУТСКЕ| |
 |951|140-045|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ОЛЕКМИНСКОМ Р-НЕ| |
 |952|140-046|МП УФМС России по Республике Саха (Якутия) в Оленекском районе| |
 |953|140-046|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ОЛЕНЕКСКОМ Р-НЕ|31.05.2015|
 |954|140-047|МП УФМС России по Республике Саха (Якутия) в Среднеколымском районе| |
 |955|140-047|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В СРЕДНЕКОЛЫМСКОМ Р-НЕ|31.05.2015|
 |956|140-048|МП в Сунтарском районе МРО УФМС России по Республике Саха (Якутия) в Мирнинском районе| |
 |957|140-048|ТП В СУНТАРСКОМ Р-НЕ МРО УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МИРНИНСКОМ Р-НЕ|31.05.2015|
 |958|140-049|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ПОС. СОЛНЕЧНЫЙ УСТЬ-МАЙСКОГО Р-НА|01.01.2008|
 |959|140-050|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ПОС. МОХСОГОЛОХ ХАНГАЛАССКОГО Р-НА|01.01.2008|
 |960|140-050|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В ПОС. МОХСОГОЛЛОХ ХАНГАЛАССКОГО Р-НА| |
 |961|140-051|ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В П. ЭЛЬДИКАН УСТЬ-МАЙСКОГО Р-НА|01.01.2008|
 |962|141-001|МВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |963|141-200|ОТДЕЛ МИЛИЦИИ Г. ЛАДУШКИНА КАЛИНИНГРАДСКОЙ ОБЛ.| |
 |964|142-001|1 ОВД Г. ЯКУТСКА|01.01.2007|
 |965|142-002|2 ОВД Г. ЯКУТСКА|01.01.2007|
 |966|142-003|3 ОВД Г. ЯКУТСКА|01.01.2007|
 |967|142-004|НЕРЮНГРИНСКИЙ ГУВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2003|
 |968|142-005|МИРНИНСКИМ ГУВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |969|142-006|АЛДАНСКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |970|142-007|УСТЬ-ЯНСКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |971|142-008|ЛЕНСКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |972|142-009|ХАНГАЛАССКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |973|142-010|УСТЬ-МАЙСКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |974|142-011|ВИЛЮЙСКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |975|142-012|МЕГИНО-КАНГАЛАССКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |976|142-013|АБЫЙСКИЙ УОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |977|142-014|АНАБАРСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |978|142-015|АЛЛАИХОВСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |979|142-016|АМГИНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |980|142-017|БУЛУНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |981|142-018|ВЕРХНЕ-ВИЛЮЙСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |982|142-019|ВЕРХНЕКОЛЫМСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |983|142-020|ВЕРХОЯНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |984|142-021|ГОРНЫЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |985|142-022|ЖИГАНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |986|142-023|КОБЯЙСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |987|142-024|МОМСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |988|142-025|НАМСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |989|142-026|НИЖНЕКОЛЫМСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |990|142-027|НЮРБИНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |991|142-028|ОЙМЯКОНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |992|142-029|ОЛЕКМИНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |993|142-030|СРЕДНЕКОЛЫМСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |994|142-031|СУНТАРСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |995|142-032|ТАТТИНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |996|142-033|ТОМПОНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |997|142-034|УСТЬ-АЛДАНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |998|142-035|ЧУРАПЧИНСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |999|143-001|8 ГОМ Г. ЯКУТСКА РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1000|143-002|ХАТАССКОЕ ПОМ Г. ЯКУТСКА|01.01.2003|
 |1001|143-002|МАРХИНСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2003|
 |1002|143-003|1 ГОМ Г. НЕРЮНГРИ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1003|143-004|2 ГОМ Г. НЕРЮНГРИ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1004|143-005|СЕРЕБРЯНЫЙ БОР ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1005|143-006|БЕРКАКИТСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1006|143-007|ЧЕРНЫШЕВСКОЕ ПОМ УВД Г. МИРНОГО РЕСПУБЛИКИ САХА (ЯКУТИЯ)| |
 |1007|143-007|ЧЕРНЫШЕВСКИЙ ПОМ МИРНИНСКОГО УВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1008|143-008|ЧЕРНЫШЕВСКОЕ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)| |
 |1009|143-008|АЙХАЛЬСКИЙ ГОМ УВД Г. МИРНОГО РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1010|143-009|УДАЧНИНСКИЙ ГОМ МИРНИНСКОГО УВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1011|143-009|АЙХАЛЬСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)| |
 |1012|143-010|ТОММОТСКОЕ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1013|143-011|НИЖНЕ-КУРАНАХСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1014|143-012|КУЛАРСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2000|
 |1015|143-013|УСТЬ-КУЙГИНСКОЕ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2000|
 |1016|143-014|КАЗАЧИНСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2004|
 |1017|143-015|ВИТИМСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1018|143-016|ПЕЛЕДУЙСКОЕ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1019|143-017|МОХСОГОЛЛОХСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2006|
 |1020|143-018|СОЛНЕЧНИНСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1021|143-019|ЭЛЬДИКАНСКОЕ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1022|143-020|КЫСЫЛ-СЫРСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2005|
 |1023|143-020|КЫЗЫЛ-СЫРСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)| |
 |1024|143-021|НИЖНЕ-БЕСТЯХСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1025|143-021|БЕСТЯХИНСКИЙ ПОМ РЕСПУБЛИКИ САХА (ЯКУТИЯ)| |
 |1026|143-022|ОЛЕНЕКСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1027|143-023|ЭВЕНО-БЫТАНТАЙСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1028|143-024|МОМСКИЙ ОВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)|01.01.2007|
 |1029|143-025|РЕЗЕРВ МВД РЕСПУБЛИКИ САХА (ЯКУТИЯ)| |
 |1030|146-006|ОВД ВИДНОВСКОГО ГОРИСПОЛКОМА МОСКОВСКОЙ ОБЛ.| |
 |1031|150-001|ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1032|150-001|ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1033|150-001|ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1034|150-001|ОТДЕЛ ИММИГРАЦИОННОГО КОНТРОЛЯ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1035|150-001|ОТДЕЛ ОБЕСПЕЧЕНИЯ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1036|150-001|ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, ПРИГЛАШЕНИЙ, РАЗРЕШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1037|150-001|ОТДЕЛ ПО ВОПРОСАМ ГРАЖДАНСТВА УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1038|150-001|УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1039|150-001|ОТДЕЛ АДРЕСНО-СПРАВОЧНОЙ РАБОТЫ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1040|150-001|ОТДЕЛ ПО ВОПРОСАМ БЕЖЕНЦЕВ И ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
 |1041|150-002|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ИРИСТОНСКОМ МО Г. ВЛАДИКАВКАЗА| |
 |1042|150-003|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ПРОМЫШЛЕННОМ МО Г. ВЛАДИКАВКАЗА| |
 |1043|150-004|УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В Г. ВЛАДИКАВКАЗ| |
 |1044|150-004|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ЗАТЕРЕЧНОМ МО Г. ВЛАДИКАВКАЗА| |
 |1045|150-005|ОТДЕЛ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В СЕВЕРО-ЗАПАДНОМ МО Г. ВЛАДИКАВКАЗА| |
 |1046|150-006|ОТДЕЛ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ПРИГОРОДНОМ Р-НЕ| |
 |1047|150-007|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ПРАВОБЕРЕЖНОМ Р-НЕ| |
 |1048|150-008|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В МОЗДОКСКОМ Р-НЕ| |
 |1049|150-009|ТП УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В КИРОВСКОМ Р-НЕ| |
 |1050|150-010|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В АРДОНСКОМ Р-НЕ| |
 |1051|150-011|ТП УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ДИГОРСКОМ Р-НЕ| |
 |1052|150-012|ТП УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В ИРАФСКОМ Р-НЕ| |
 |1053|150-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСП. СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ В АЛАГИРСКОМ Р-НЕ| |
 |1054|150-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО РСО-АЛАНИЯ В МОЗДОКСКОМ Р-НЕ| |
 |1055|150-015|ТП УФМС РОССИИ ПО РСО-АЛАНИЯ В ДИГОРСКОМ Р-НЕ| |
 |1056|150-016|ТП УФМС РОССИИ ПО РСО-АЛАНИЯ В ИРАФСКОМ Р-НЕ| |
 |1057|150-019|ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ И ИММИГРАЦИОННОГО КОНТРОЛЯ УФМС РОССИИ ПО РСО-АЛАНИЯ|01.01.2008|
 |1058|150-020|ОТДЕЛ ПО КОНТРОЛЮ ЗА СОБЛЮДЕНИЕМ ИНОСТРАННЫМИ ГРАЖДАНАМИ ПРАВИЛ ПРОЖИВАНИЯ И ВРЕМЕННОГО ПРЕБЫВАНИЯ УФМС РОССИИ ПО РСО-АЛАНИЯ| |
